event,name,dob,country,time,score,date
56,men's 1500m,Pedro Antonio ESTESO,1976-10-13,ESP,216.86,1149,2003-06-07
57,men's 1500m,Abdelslam KENNOUCHE,1980-10-07,ALG,216.93,1148,2003-07-19
58,men's 1500m,Ali MAATAOUI,1980-12-11,MAR,216.95999,1148,2003-06-09
59,men's 1500m,Weize YANG,1983-02-10,CHN,216.97,1147,2003-10-24
60,men's 1500m,Suleiman Kipses SIMOTWO,1980-04-21,KEN,216.98,1147,2003-08-03
61,men's 1500m,Jason LUNN,1974-09-19,USA,216.99,1147,2003-07-07
62,men's 1500m,Charles Kiplangat BETT,1984-07-21,KEN,217.04001,1147,2003-06-09
63,men's 1500m,Zbigniew GRACZYK,1978-07-04,POL,217.09,1146,2003-06-12
64,men's 1500m,Michal ŠNEBERGER,1978-06-23,CZE,217.1,1146,2003-06-12
65,men's 1500m,Daham Najim BASHIR,1979-11-08,QAT,217.19,1144,2003-06-25
66,men's 1500m,Kamal BOULAHFANE,1976-07-01,ALG,217.45999,1141,2003-07-07
67,men's 1500m,Augustine Kiprono CHOGE,1987-01-21,KEN,217.48,1141,2003-08-15
68,men's 1500m,Michael TOO,1983-08-03,KEN,217.51,1140,2003-06-07
69,men's 1500m,Branko ZORKO,1967-07-01,CRO,217.58,1139,2003-07-07
70,men's 1500m,Edward Kibet MUTAI,1984-08-28,KEN,217.58,1139,2003-07-19
71,men's 1500m,John MAYOCK,1970-10-26,GBR,217.59,1139,2003-06-07
72,men's 1500m,Panayotis STROUBAKOS,1972-09-08,GRE,217.65,1138,2003-06-24
73,men's 1500m,José Manuel CEREZO,1973-06-23,ESP,217.67,1138,2003-08-10
74,men's 1500m,Graham DAVIDSON,1978-10-14,RSA,217.73,1137,2003-06-15
75,men's 1500m,Shadrack KORIR,1978-12-14,KEN,217.92,1135,2003-05-31
76,men's 1500m,Ralf ASSMUS,1977-01-28,GER,218.18,1131,2003-06-15
77,men's 1500m,Thomas MAYO,1977-05-02,GBR,218.18,1131,2003-06-29
78,men's 1500m,Tim CLERBOUT,1981-10-13,BEL,218.32,1129,2003-08-02
79,men's 1500m,Dalibor BALGAČ,1977-09-22,CRO,218.34,1129,2003-07-07
80,men's 1500m,José Antonio REDOLAT,1976-02-17,ESP,218.36,1129,2003-06-07
81,men's 1500m,Marko KOERS,1972-11-03,NED,218.47,1127,2003-06-25
82,men's 1500m,Ridouane ES SAADI,1976-10-25,BEL,218.47,1127,2003-08-02
83,men's 1500m,Mounir YEMMOUNI,1983-10-12,FRA,218.54001,1126,2003-06-29
84,men's 1500m,Andrés Manuel DÍAZ,1969-07-12,ESP,218.54001,1126,2003-07-05
85,men's 1500m,James Kwalia C'KURUI,1984-06-12,KEN,218.67,1124,2003-05-17
86,men's 1500m,Andrey ZADOROZHNIY,1973-09-03,RUS,218.81,1122,2003-05-31
87,men's 1500m,Juan VAN DEVENTER,1983-03-26,RSA,218.87,1122,2003-03-07
88,men's 1500m,Franek HASCHKE,1980-03-28,GER,218.88,1122,2003-06-15
89,men's 1500m,Lorenzo PERRONE,1981-09-26,ITA,218.95999,1120,2003-06-03
90,men's 1500m,Guillaume ÉRAUD,1981-07-01,FRA,219.03,1120,2003-06-09
91,men's 1500m,Mirosław FORMELA,1978-10-31,POL,219.04001,1119,2003-06-29
92,men's 1500m,Carles CASTILLEJO,1978-08-18,ESP,219.09,1119,2003-07-19
93,men's 1500m,Fumikazu KOBAYASHI,1978-03-21,JPN,219.15,1118,2003-08-02
94,men's 1500m,Johan PRETORIUS,1982-09-23,RSA,219.17,1118,2003-03-07
95,men's 1500m,Abdulrahman SULEIMAN,1984-01-10,QAT,219.2,1117,2003-07-31
96,men's 1500m,Alistair Ian CRAGG,1980-06-13,IRL,219.24,1117,2003-04-12
97,men's 1500m,Rashid RAMZI,1980-07-17,BRN,219.3,1116,2003-05-31
98,men's 1500m,António TRAVASSOS,1971-09-24,POR,219.45999,1114,2003-07-19
99,men's 1500m,Hillary CHENONGE,1985-05-30,KEN,219.49,1113,2003-06-09
--------2003------------
--------:avg top 100:1160.34--avg top percent:1178.968253968254-------
-------------------------
0,men's 1500m,Bernard LAGAT,1974-12-12,KEN,207.4,1282,2004-08-06
1,men's 1500m,Hicham EL GUERROUJ,1974-09-14,MAR,207.64,1279,2004-08-06
2,men's 1500m,Timothy KIPTANUI,1980-01-05,KEN,210.04001,1244,2004-07-23
3,men's 1500m,Rashid RAMZI,1980-07-17,BRN,210.25,1241,2004-07-02
